game_id,home_team_x,away_team_x,posteam_x,Total_EPA_x,Total_Yards_Gained_x,Air_Yards_x,Turnovers_x,Total_Rush_Attempts_x,Total_Pass_Attempts_x,total_away_score_x,total_home_score_x,Winner_x,MA_EPA_x,MA_yards_gained_x,MA_air_yards_x,MA_turnovers_x,MA_rush_attempts_x,MA_pass_attempts_x,home_team_y,away_team_y,posteam_y,Total_EPA_y,Total_Yards_Gained_y,Air_Yards_y,Turnovers_y,Total_Rush_Attempts_y,Total_Pass_Attempts_y,total_away_score_y,total_home_score_y,Winner_y,MA_EPA_y,MA_yards_gained_y,MA_air_yards_y,MA_turnovers_y,MA_rush_attempts_y,MA_pass_attempts_y
2018101409,DEN,LA,LA,13.82805008,444,230,1,39,33,20,23,Home,18.62654634,495,273,1.25,30,35,DEN,LA,DEN,1.17382136,357,355,1,17,43,20,23,Home,0.919665546,374,283,1,22.75,41.5
2018101410,DAL,JAX,JAX,-20.91021046,204,221,2,18,29,40,7,Away,0.540546277,429,320,2.75,23.5,47.25,DAL,JAX,DAL,16.02103803,378,244,0,42,30,40,7,Away,2.31183029,326,224,1.25,27,31.25
2018101411,TEN,BAL,BAL,14.1312804,361,343,1,35,37,0,21,Home,-1.444400331,407,430,1.5,26.25,51.25,TEN,BAL,TEN,-12.96553857,106,175,0,14,26,0,21,Home,1.416293902,283,203,1,29,30.25
2018101412,NE,KC,KC,20.2950851,446,319,2,17,36,43,40,Away,19.63373382,425,351,0.75,27.25,38.5,NE,KC,NE,17.08581323,500,323,1,38,37,43,40,Away,4.259644398,349,277,1.5,26.5,36
2018101500,GB,SF,SF,8.353270005,401,181,3,30,25,33,30,Away,2.007282285,391,222,1.75,28.25,41.25,GB,SF,GB,12.67831114,521,379,0,21,49,33,30,Away,-0.086473611,409,377,1.25,23.25,48.75
2018101800,ARI,DEN,DEN,1.77413074,309,195,1,31,24,10,43,Home,-0.840128568,367,287,1,20,43.25,ARI,DEN,ARI,-38.76960798,223,290,5,21,45,10,43,Home,-11.62700075,243,244,1.75,22.25,29.75
2018102100,LAC,TEN,TEN,13.15314183,390,149,1,33,35,20,19,Away,-4.174211063,239,216,1,24,31,LAC,TEN,LAC,14.43033809,344,219,0,16,28,20,19,Away,8.237739095,396,239,1,28.5,30.75
2018102101,BAL,NO,NO,12.17810671,339,201,1,39,31,23,24,Home,14.87728007,411,235,0.75,29,38.5,BAL,NO,BAL,8.847319761,351,337,0,23,41,23,24,Home,2.993341326,391,388,1,29.5,45.5
2018102102,CHI,NE,NE,6.181006276,381,235,3,27,37,31,37,Home,9.359647276,399,305,1.5,30,36,CHI,NE,CHI,-2.22401017,453,567,2,25,52,31,37,Home,7.996432046,384,288,1.75,30,33.5
2018102103,IND,BUF,BUF,-20.58628042,303,208,5,22,33,37,5,Away,-10.17073089,222,218,1.5,31,29.25,IND,BUF,IND,17.8865536,378,113,0,38,23,37,5,Away,-1.500585872,389,415,2.25,18.5,53.5
2018102104,JAX,HOU,HOU,4.555173371,272,221,0,37,25,7,20,Home,-1.724038588,392,321,2.25,27.25,42.75,JAX,HOU,JAX,-17.7411798,259,245,3,22,46,7,20,Home,-8.30379728,360,287,2.75,22,43.25
2018102105,KC,CIN,CIN,-14.86584496,239,279,1,19,35,44,10,Away,6.988709083,352,345,1.5,18.75,42.5,KC,CIN,KC,26.33095568,551,336,1,29,41,44,10,Away,18.18236874,425,355,1,25.25,40.25
2018102106,MIA,DET,DET,22.80833295,457,140,0,36,23,21,32,Home,13.23370369,371,279,0.75,24.75,38.5,MIA,DET,MIA,8.162403845,322,309,0,19,35,21,32,Home,-1.356852097,346,250,2,21.25,33.75
2018102107,NYJ,MIN,MIN,2.061565267,316,414,0,24,41,17,37,Home,-1.703931983,381,254,1.75,19.5,47.75,NYJ,MIN,NYJ,-25.34050021,263,490,4,24,45,17,37,Home,0.648282034,333,242,1.75,29.5,31.5
2018102108,PHI,CAR,CAR,13.52901237,373,282,0,17,42,17,21,Home,8.806875671,379,290,1.5,27,37.5,PHI,CAR,PHI,8.53242222,342,300,1,24,41,17,21,Home,3.380889664,389,301,1.25,26.5,42.75
2018102109,TB,CLE,CLE,-2.819290635,305,289,0,23,39,26,23,Away,-7.879088871,387,417,1.75,28.75,46.5,TB,CLE,TB,-4.677766494,456,546,5,32,56,26,23,Away,4.859580071,428,424,2.75,19.25,43.5
2018102110,WAS,DAL,DAL,-3.157199064,323,361,2,22,39,19,17,Away,4.210874449,346,228,1.25,31.25,32.5,WAS,DAL,WAS,-1.906374653,305,280,0,32,26,19,17,Away,1.262200548,322,285,1.25,25.75,37.75
2018102111,SF,LA,LA,7.934139144,339,224,0,36,25,10,39,Home,17.82354775,497,255,1.25,31,34.5,SF,LA,SF,-23.16978179,228,229,4,24,34,10,39,Home,0.07023234,405,229,2.5,28.75,39.5
2018102200,ATL,NYG,NYG,13.42020156,435,277,0,21,43,23,20,Away,3.971767346,378,276,1.25,18.75,41,ATL,NYG,ATL,15.86926823,423,305,1,20,42,23,20,Away,11.65692933,411,373,0.25,21.75,44
2018102500,HOU,MIA,MIA,-0.499818156,370,404,1,25,40,42,23,Away,-4.045049863,333,265,2,22.5,36.25,HOU,MIA,HOU,22.43450792,427,185,0,35,20,42,23,Away,-2.994881553,354,266,1.75,31.75,38
2018102800,JAX,PHI,PHI,10.79237754,395,242,2,28,34,18,24,Home,7.099357477,379,304,1,23.75,42.5,JAX,PHI,JAX,4.152189458,335,257,1,17,46,18,24,Home,-11.14178814,367,312,3.25,22.75,45.5
2018102801,CAR,BAL,BAL,4.180636384,325,419,3,18,46,36,21,Away,4.321806612,393,381,1,28.25,45.25,CAR,BAL,CAR,17.7268003,386,199,0,33,31,36,21,Away,8.382237044,363,279,1.25,26.75,36.25
2018102802,CHI,NYJ,NYJ,-3.276942712,207,236,0,24,30,24,10,Away,-4.764869301,331,314,2,28,34.5,CHI,NYJ,CHI,8.272875363,395,266,0,34,31,24,10,Away,8.163056199,429,378,1.75,29.5,37.5
2018102803,CIN,TB,TB,8.486728973,578,641,4,27,57,36,34,Away,2.135640503,433,481,3.5,21.5,48.75,CIN,TB,CIN,7.846874888,402,309,0,27,36,36,34,Away,2.259824092,313,304,0.75,20.25,39.25
2018102804,DET,SEA,SEA,19.02143559,413,187,0,42,19,14,28,Home,7.104881433,342,210,0.25,35.5,25.75,DET,SEA,DET,-3.287338864,331,289,3,13,43,14,28,Home,16.96752472,379,199,0.5,29.25,30.5
2018102805,KC,DEN,DEN,-0.985667185,411,289,2,31,39,30,23,Away,1.884831829,371,290,1,21.75,40,KC,DEN,KC,6.203485355,340,245,1,18,36,30,23,Away,18.67464324,466,342,1.25,25.5,40.5
2018102806,NYG,WAS,WAS,2.602608908,360,235,1,33,32,13,20,Home,3.073267577,315,274,1,28.25,32,NYG,WAS,NYG,-6.141063928,303,338,2,14,54,13,20,Home,4.328502399,392,300,1.25,17.25,43.5
2018102807,PIT,CLE,CLE,-17.40151437,237,283,1,21,39,33,18,Away,-8.122746271,382,384,1.75,26.25,45.75,PIT,CLE,PIT,8.962852387,421,291,2,31,37,33,18,Away,8.63367519,390,308,1,20.75,41.5
2018102808,OAK,IND,IND,30.89040482,463,230,0,40,32,28,42,Home,4.394562626,431,375,2.25,24.75,48.5,OAK,IND,OAK,8.216340227,346,198,1,18,28,28,42,Home,-5.535924846,368,256,2,23.25,44.25
2018102809,ARI,SF,SF,-3.293118377,267,240,0,31,32,18,15,Away,-9.447712947,360,218,3.5,27.5,39.25,ARI,SF,ARI,-0.812762327,323,288,2,21,44,18,15,Away,-19.60010361,243,255,2,23,33.5
2018102810,LA,GB,GB,4.468665977,359,257,1,19,33,29,27,Away,1.944072742,451,397,1.25,22.5,49.5,LA,GB,LA,11.50721741,418,406,0,35,42,29,27,Away,15.86018155,451,258,0.75,31.25,31.5
2018102811,MIN,NO,NO,9.155158505,270,92,1,29,24,20,29,Home,19.74773912,427,222,0.5,32.75,36.75,MIN,NO,MIN,-3.681087691,420,281,2,22,45,20,29,Home,3.395711596,387,273,1,24,43
2018102900,BUF,NE,NE,3.721217822,387,343,0,25,48,6,24,Home,12.6222075,442,280,2,32,38.25,BUF,NE,BUF,-18.81361378,333,415,2,19,44,6,24,Home,-16.52264944,225,223,2.75,27,31.25
2018110100,SF,OAK,OAK,-13.19881824,242,113,0,23,32,34,3,Away,-5.086862235,346,247,1.75,19.75,40.75,SF,OAK,SF,17.83766873,405,146,0,32,22,34,3,Away,-7.984862429,335,227,3,30,37.75
2018110400,BAL,PIT,PIT,15.00565664,395,321,0,27,49,16,23,Home,9.719395559,392,314,1.25,23,40.5,BAL,PIT,BAL,-0.80782179,265,289,0,16,40,16,23,Home,2.616619675,361,389,1.5,25.25,45.75
2018110401,BUF,CHI,CHI,-4.886452961,190,211,1,25,21,9,39,Home,10.76078058,449,360,1.25,30.25,35.75,BUF,CHI,BUF,-41.21061409,264,244,4,28,54,9,39,Home,-15.10923911,272,250,2.5,27.75,32.25
2018110402,CAR,TB,TB,1.645446208,301,363,2,21,44,42,28,Away,3.708923798,463,502,3.5,24.25,49.75,CAR,TB,CAR,20.00793278,407,183,0,32,27,42,28,Away,9.966968802,365,275,1.25,24.75,37.75
2018110403,CLE,KC,KC,26.69109333,499,216,1,24,34,21,37,Home,16.16159918,440,314,1.5,23.5,38,CLE,KC,CLE,5.303533498,388,371,1,25,48,21,37,Home,-11.43214766,319,357,1,23.25,44.5
