game_id,home_team,away_team,posteam,Home or Away,Total EPA,Total Yards Gained,Air Yards,Turnovers,Total Rush Attempts,Total Pass Attempts,total_away_score,total_home_score,Winner,Winning Team
2019102006,NYG,ARI,NYG,1,-12.40347219,263,265,3,22,43,27,21,ARI,0
2019102007,WAS,SF,SF,0,-7.151433461,283,187,1,39,23,9,0,SF,1
2019102007,WAS,SF,WAS,1,-17.08230785,154,49,1,26,15,9,0,SF,0
2019102008,TEN,LAC,TEN,1,12.73367768,403,212,1,29,32,20,23,TEN,1
2019102008,TEN,LAC,LAC,0,6.373708758,365,426,1,21,39,20,23,TEN,0
2019102009,CHI,NO,CHI,1,-8.889055318,254,338,2,7,57,36,25,NO,0
2019102009,CHI,NO,NO,0,10.27934814,424,282,0,35,39,36,25,NO,1
2019102010,SEA,BAL,SEA,1,-14.22735626,347,459,2,26,42,30,16,BAL,0
2019102010,SEA,BAL,BAL,0,5.85541779,340,201,0,35,21,30,16,BAL,1
2019102011,DAL,PHI,DAL,1,16.82552585,402,225,1,36,30,10,37,DAL,1
2019102011,DAL,PHI,PHI,0,-17.0503374,283,323,4,28,29,10,37,DAL,0
2019102100,NYJ,NE,NE,0,1.210715377,323,223,2,34,45,33,0,NE,1
2019102100,NYJ,NE,NYJ,1,-32.7124447,154,398,5,20,33,33,0,NE,0
2019102400,MIN,WAS,MIN,1,10.03372556,434,95,1,38,29,9,19,MIN,1
2019102400,MIN,WAS,WAS,0,-6.260880942,216,139,2,16,25,9,19,MIN,0
2019102700,ATL,SEA,ATL,1,5.13570308,512,352,3,17,56,27,20,SEA,0
2019102700,ATL,SEA,SEA,0,21.72334219,322,202,0,33,22,27,20,SEA,1
2019102701,BUF,PHI,BUF,1,-5.984282614,253,317,2,20,38,31,13,PHI,0
2019102701,BUF,PHI,PHI,0,8.415201312,373,121,0,42,27,31,13,PHI,1
2019102702,CHI,LAC,CHI,1,-9.467030896,388,308,2,38,39,17,16,LAC,0
2019102702,CHI,LAC,LAC,0,-5.932443342,231,259,1,12,30,17,16,LAC,1
2019102703,DET,NYG,DET,1,7.979266027,375,390,2,25,36,26,31,DET,1
2019102703,DET,NYG,NYG,0,-0.93767881,370,307,1,24,45,26,31,DET,0
2019102704,HOU,OAK,HOU,1,20.93880482,388,266,0,32,42,24,27,HOU,1
2019102704,HOU,OAK,OAK,0,15.96764034,378,278,0,23,30,24,27,HOU,0
2019102705,JAX,NYJ,JAX,1,4.471678557,389,223,1,34,36,15,29,JAX,1
2019102705,JAX,NYJ,NYJ,0,-11.81651564,215,233,3,14,39,15,29,JAX,0
2019102706,LA,CIN,CIN,0,7.847208424,401,429,0,22,57,10,24,LA,0
2019102706,LA,CIN,LA,1,21.72577255,470,321,0,26,31,10,24,LA,1
